movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
10159,The Rundown,80900000,85000000,104,80900000,R,"Columbia Pictures, Universal Pictures, WWE Studios, Misher Films, Strike Entertainment, IM3 Entertainment","Adventure, Action, Comedy, Thriller",tt0327850,2003,09,26
610253,Halloween Kills,133400000,20000000,105,133400000,R,"Blumhouse Productions, Miramax, Rough House Pictures, Trancas International Films","Horror, Thriller",tt10665338,2021,10,14
520900,The Personal History of David Copperfield,11620337,15600000,119,11620337,R,"FilmNation Entertainment, Film4 Productions, Wishmore",Comedy,tt6439020,2019,11,07
467938,Revenge,938055,2900000,109,938055,R,"M.E.S. Productions, Monkey Pack Films, Charades, Logical Pictures, Nexus Factory, uMedia","Action, Horror",tt6738136,2018,02,07
295693,The Boss Baby,527965936,125000000,97,527965936,R,DreamWorks Animation,"Animation, Comedy, Family",tt3874544,2017,03,23
27586,The Runaways,2995811,10000000,106,2995811,R,"The Linson Company, River Road Entertainment, Road Rebel","Music, Drama, History",tt1017451,2010,03,19
458897,Charlie's Angels,73279888,48000000,118,73279888,R,"Columbia Pictures, Brownstone Productions, 2.0 Entertainment, The Cantillon Company","Action, Adventure, Comedy",tt5033998,2019,11,14
457335,Guns Akimbo,835102,15000000,95,835102,R,"Altitude Film Entertainment, Four Knights Film, Hyperion Media Group, Ingenious Media, Maze Pictures, Pump Metal Films, The Electric Shadow Company, Saban Films, New Zealand Film Commission, uMedia, Occupant Entertainment, Cutting Edge, WS Filmproduktion","Action, Comedy",tt6902676,2020,02,27
290859,Terminator: Dark Fate,261119292,185000000,128,261119292,R,"20th Century Fox, Skydance Media, Paramount Pictures, Tencent Pictures, TSG Entertainment, Lightstorm Entertainment","Science Fiction, Action",tt6450804,2019,10,23
157827,Louder Than Bombs,1400000,11000000,105,1400000,R,"Motlys, Animal Kingdom, ARTE France Cinéma",Drama,tt2217859,2015,10,01
39874,My Bloody Valentine,5672031,2200000,90,5672031,R,"Secret Films, Famous Players, Canadian Film Development Corporation","Horror, Mystery, Thriller",tt0082782,1981,02,11
9618,Tango & Cash,63408614,55000000,104,63408614,R,"Warner Bros. Pictures, Guber/Peters Company","Action, Thriller, Comedy, Drama",tt0098439,1989,12,22
636,THX 1138,2437000,777000,86,2437000,R,"American Zoetrope, Warner Bros. Pictures","Science Fiction, Action, Drama",tt0066434,1971,03,11
376866,Jackie,13960394,9000000,100,13960394,R,"LD Entertainment, Protozoa Pictures, Fabula, Why Not Productions, Wild Bunch, Endemol Shine North America, Bliss Media",Drama,tt1619029,2016,12,02
9928,Robots,262511490,75000000,90,262511490,R,"Blue Sky Studios, 20th Century Fox Animation","Animation, Comedy, Family, Science Fiction",tt0358082,2005,03,10
