IMDb_code,movie_code,year_review,month_review,day_review,rating_of_movie,ave_review_len,review_count,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating
tt2948356,269149,2016,09,04,7.0,78.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2017,02,27,9.0,180.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2017,03,09,8.0,164.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2019,06,25,10.0,317.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2020,09,05,8.0,120.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2024,01,02,7.0,224.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948372,508442,2020,12,14,9.0,924.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2020,12,25,10.0,213.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2020,12,29,9.0,125.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2021,01,11,7.0,192.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2021,01,12,7.0,146.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2021,01,28,9.0,29.0,1,Soul,121500000,150000000,101,121500000,R
tt2948372,508442,2023,12,07,7.0,279.0,1,Soul,121500000,150000000,101,121500000,R
tt2948790,333381,2016,05,23,5.0,206.0,1,Return to Sender,0,0,95,0,R
tt2948840,300153,2016,05,14,5.0,178.0,1,Life,1231606,12000000,112,1231606,R
tt2953050,568124,2022,03,04,8.0,199.0,1,Encanto,253000000,50000000,102,253000000,R
tt2953050,568124,2022,03,07,8.0,169.0,1,Encanto,253000000,50000000,102,253000000,R
tt2955316,236737,2015,04,25,6.0,42.0,1,Spanish Affair,78768613,3000000,98,78768613,R
tt2960930,265016,2023,03,02,8.0,241.0,1,Extraterrestrial,0,0,101,0,R
tt2965466,296065,2022,05,17,6.0,391.0,1,Last Shift,0,0,87,0,R
tt2967224,268920,2015,10,14,7.0,254.0,1,Hot Pursuit,51680201,35000000,87,51680201,R
tt2967224,268920,2020,01,27,1.0,6.0,1,Hot Pursuit,51680201,35000000,87,51680201,R
tt2969656,204553,2023,06,18,7.0,50.0,1,Cold Eyes,37795598,0,119,37795598,R
tt2969656,204553,2024,02,08,7.0,60.0,1,Cold Eyes,37795598,0,119,37795598,R
tt29722855,933131,2024,01,30,6.0,65.0,1,Badland Hunters,0,0,107,0,R
tt29722855,933131,2024,01,30,8.0,95.0,1,Badland Hunters,0,0,107,0,R
